,count of beers,avg abv
Gingo/Sake,2,15.00
Pyment,32,13.06
Fruit Melomel,228,12.14
Energy Malt Beverage,9,12.00
Metheglin,104,11.97
Mead,205,11.79
Dry Mead,52,11.16
British Barleywine,115,10.84
American Barleywine,363,10.81
Semi-Sweet Mead,72,10.78
Belgian Quad,191,10.62
Adambier,2,10.50
BBL Aged Strong,82,10.48
Cyser,44,10.41
American Imperial Stout,1148,10.41
Eisbock,14,10.36
British Imperial Stout,251,10.26
American Ice Lager,1,10.00
Braggot,31,9.61
Sweet Mead,73,9.55
Belgian Dark Strong,294,9.50
BBL Aged Dark,73,9.46
Wheatwine,74,9.37
Belgian Tripel,439,9.09
American Imperial Porter,211,8.94
